href	縣市	類別	人口
http://www.ntpc.gov.tw/ch/index.jsp	新北市	直轄市	4,024,539
http://www.taichung.gov.tw/	臺中市	直轄市	2,816,741
http://www.kcg.gov.tw/	高雄市	直轄市	2,773,401
https://www.gov.taipei/default.aspx	臺北市	直轄市	2,631,083
http://www.tycg.gov.tw/ch/index.jsp	桃園市	直轄市	2,255,753
http://www.tainan.gov.tw/	臺南市	直轄市	1,878,845
http://www.chcg.gov.tw/	彰化縣	縣	1,270,521
http://www.pthg.gov.tw/Default.aspx	屏東縣	縣	816,636
http://www.yunlin.gov.tw/	雲林縣	縣	679,635
http://www.hsinchu.gov.tw/	新竹縣	縣	565,851
http://www.miaoli.gov.tw/	苗栗縣	縣	544,548
http://www.cyhg.gov.tw/Default.aspx	嘉義縣	縣	501,774
http://www.nantou.gov.tw/	南投縣	縣	493,138
http://www.e-land.gov.tw/	宜蘭縣	縣	453,915
http://www.hccg.gov.tw/	新竹市	市	449,593
https://www.klcg.gov.tw/	基隆市	市	368,850
https://www.hl.gov.tw/SetCulture?culture=zh-TW	花蓮縣	縣	325,582
http://www.chiayi.gov.tw/	嘉義市	市	267,432
http://www.taitung.gov.tw/tw/index.aspx	臺東縣	縣	216,164
https://www.kinmen.gov.tw/Default.aspx	金門縣	縣	139,804
http://www.penghu.gov.tw/	澎湖縣	縣	105,070
http://www.matsu.gov.tw/	連江縣	縣	13,045